SMOTE-ENN,Validacao,Remove_Corr,Acuracia,Acuracia_Macro,Recall,AUC,F1_Score
Sim,Holdout,Não,0.828665568369028,0.6777177005195466,0.828665568369028,0.9417177724606749,0.7998931115430296
Sim,Kfold,Não,0.8165565650469496,0.6672162256972394,0.8165565650469496,0.9416634442515164,0.7883217806411948
Não,Holdout,Não,0.6223458038422649,0.5183908045977011,0.6223458038422649,0.8114349594407511,0.5893507349435941
Não,Kfold,Não,0.6328505825077368,0.5276949872864418,0.6328505825077368,0.8202176313871641,0.5998546763313246
Sim,Holdout,Sim,0.828665568369028,0.6777177005195466,0.828665568369028,0.9417177724606749,0.7998931115430296
Sim,Kfold,Sim,0.8165565650469496,0.6672162256972394,0.8165565650469496,0.9416634442515164,0.7883217806411948
Não,Holdout,Sim,0.6188068756319515,0.5162931034482758,0.6188068756319515,0.8140497761199481,0.580011965841963
Não,Kfold,Sim,0.6239506600936043,0.5206413981911965,0.6239506600936043,0.8181299657397979,0.5852278631381643
